lr_group_0,lr_group_1,step,train/loss_arc,train/loss_type,train/loss
0.0,0.0,0,,,
2.666666666666667e-08,2.666666666666667e-08,1,,,
5.333333333333334e-08,5.333333333333334e-08,2,,,
8e-08,8e-08,3,,,
1.0666666666666668e-07,1.0666666666666668e-07,4,,,
1.3333333333333334e-07,1.3333333333333334e-07,5,,,
1.6e-07,1.6e-07,6,,,
1.8666666666666667e-07,1.8666666666666667e-07,7,,,
2.1333333333333336e-07,2.1333333333333336e-07,8,,,
2.4e-07,2.4e-07,9,,,
2.6666666666666667e-07,2.6666666666666667e-07,10,,,
2.9333333333333337e-07,2.9333333333333337e-07,11,,,
3.2e-07,3.2e-07,12,,,
3.4666666666666665e-07,3.4666666666666665e-07,13,,,
3.7333333333333334e-07,3.7333333333333334e-07,14,,,
4.0000000000000003e-07,4.0000000000000003e-07,15,,,
4.2666666666666673e-07,4.2666666666666673e-07,16,,,
4.5333333333333337e-07,4.5333333333333337e-07,17,,,
4.8e-07,4.8e-07,18,,,
5.066666666666667e-07,5.066666666666667e-07,19,,,
5.333333333333333e-07,5.333333333333333e-07,20,,,
5.6e-07,5.6e-07,21,,,
5.866666666666667e-07,5.866666666666667e-07,22,,,
6.133333333333334e-07,6.133333333333334e-07,23,,,
6.4e-07,6.4e-07,24,,,
6.666666666666667e-07,6.666666666666667e-07,25,,,
6.933333333333333e-07,6.933333333333333e-07,26,,,
7.2e-07,7.2e-07,27,,,
7.466666666666667e-07,7.466666666666667e-07,28,,,
7.733333333333334e-07,7.733333333333334e-07,29,,,
8.000000000000001e-07,8.000000000000001e-07,30,,,
8.266666666666668e-07,8.266666666666668e-07,31,,,
8.533333333333335e-07,8.533333333333335e-07,32,,,
8.8e-07,8.8e-07,33,,,
9.066666666666667e-07,9.066666666666667e-07,34,,,
9.333333333333334e-07,9.333333333333334e-07,35,,,
9.6e-07,9.6e-07,36,,,
9.866666666666666e-07,9.866666666666666e-07,37,,,
1.0133333333333333e-06,1.0133333333333333e-06,38,,,
1.04e-06,1.04e-06,39,,,
1.0666666666666667e-06,1.0666666666666667e-06,40,,,
1.0933333333333334e-06,1.0933333333333334e-06,41,,,
1.12e-06,1.12e-06,42,,,
1.1466666666666668e-06,1.1466666666666668e-06,43,,,
1.1733333333333335e-06,1.1733333333333335e-06,44,,,
1.2000000000000002e-06,1.2000000000000002e-06,45,,,
1.2266666666666669e-06,1.2266666666666669e-06,46,,,
1.2533333333333335e-06,1.2533333333333335e-06,47,,,
1.28e-06,1.28e-06,48,,,
1.3066666666666667e-06,1.3066666666666667e-06,49,,,
,,49,2.8588016033172607,3.4954028129577637,6.354204177856445
1.3333333333333334e-06,1.3333333333333334e-06,51,,,
1.36e-06,1.36e-06,52,,,
1.3866666666666666e-06,1.3866666666666666e-06,53,,,
1.4133333333333333e-06,1.4133333333333333e-06,54,,,
1.44e-06,1.44e-06,55,,,
1.4666666666666667e-06,1.4666666666666667e-06,56,,,
1.4933333333333334e-06,1.4933333333333334e-06,57,,,
1.52e-06,1.52e-06,58,,,
1.5466666666666668e-06,1.5466666666666668e-06,59,,,
1.5733333333333332e-06,1.5733333333333332e-06,60,,,
1.6000000000000001e-06,1.6000000000000001e-06,61,,,
1.6266666666666666e-06,1.6266666666666666e-06,62,,,
1.6533333333333335e-06,1.6533333333333335e-06,63,,,
1.68e-06,1.68e-06,64,,,
1.706666666666667e-06,1.706666666666667e-06,65,,,
1.7333333333333334e-06,1.7333333333333334e-06,66,,,
1.76e-06,1.76e-06,67,,,
1.7866666666666668e-06,1.7866666666666668e-06,68,,,
1.8133333333333335e-06,1.8133333333333335e-06,69,,,
1.84e-06,1.84e-06,70,,,
1.8666666666666669e-06,1.8666666666666669e-06,71,,,
1.8933333333333333e-06,1.8933333333333333e-06,72,,,
1.92e-06,1.92e-06,73,,,
1.946666666666667e-06,1.946666666666667e-06,74,,,
1.9733333333333332e-06,1.9733333333333332e-06,75,,,
